TIPO;DIRECCION;IDENTIFICADOR;CODIGO;CODNDP,N,19,0;TIPO DE VALLA;TIPO DE SUELO;LOCALIZACION;ACCESO;N.ELEMENTOS;AREA;PERIMETRO;DIRECCION AUXLIAR;DISTRITO;BARRIO;latitud;longitud;UTMX;UTMY
AREA INFANTIL;CALLE SANTA VIRGILIA nº 19;1325;16022;31050802;SIN VALLA;ARENA;0;0;3;75,081;30,98;0;HORTALEZA;PINAR DEL REY;40,477477;-3,640574;445703,335;4480951,677
AREA INFANTIL;CALLE RAMON GOMEZ DE LA SERNA nº 97;383;8081;11051149;0;0;0;0;9;1224,923;140,33;0;FUENCARRAL - ELPARDO;PEÑAGRANDE;40,483701;-3,728084;438291,478;4481700,135
AREA INFANTIL;AVENIDA MONASTERIO DE SILOS nº 17;409;8115;31045231;VALLA DE MADERA DE COLOR MARRON;ARENA;0;0;3;463,982;87,67;Av · AVENIDA MONASTERIO DEL ESCORIAL 25 , ASCENDI;FUENCARRAL - ELPARDO;EL GOLOSO;40,503917;-3,707595;440046,003;4483929,988
AREA INFANTIL;AVENIDA MONASTERIO DE EL ESCORIAL nº 123;434;8143;31045195;VALLA DE MADERA DE COLOR MARRON;ARENA;0;0;3;294,853;69,25;C · CALLE COLEGIATA DE CERVATOS , ASCENDIENTE 1:;FUENCARRAL - ELPARDO;EL GOLOSO;40,511954;-3,691753;441395,268;4484811,503
AREA INFANTIL;RONDA INGENIOSO HIDALGO nº 44;333;8009;20171931;VALLA METALICA DE CUADRADILLOS - MALLA;ARENA;0;0;4;154,194;53,32;C · CALLE ALDONZA LORENZO 187 , ASCENDIENTE 1: 08;FUENCARRAL - ELPARDO;VALVERDE;40,500178;-3,689994;441534,054;4483503,18
AREA INFANTIL;CALLE ALONSO QUIJANO nº 45;337;8014;20051689;SIN VALLA;ARENA;EN PARQUE DE FUENCARRAL;0;7;596,176;115,04;Pq · PARQUE FUENCARRAL , ASCENDIENTE 1: 086 · VAL;FUENCARRAL - ELPARDO;VALVERDE;40,501736;-3,688138;441692,704;4483674,882
AREA INFANTIL;CALLE TORTA nº 13;816;11157;31048877;VALLA METALICA DE COLORINES;ARENA;0;0;4;178,947;55,73;C · CALLE PARQUE GUELL , ASCENDIENTE 1: 116 · BUE;CARABANCHEL;BUENAVISTA;40,360763;-3,765265;435021,962;4468080,657
AREA INFANTIL;CALLE PATRIMONIO DE LA HUMANIDAD nº 17;814;11155;31044440;SIN VALLA;ARENA;0;0;3;397,848;88,03;C · CALLE PATRIMONIO  DE LA HUMANIDAD , ASCENDIEN;CARABANCHEL;BUENAVISTA;40,360375;-3,760041;435465,198;4468033,776
AREA INFANTIL;CALLE POTOSI nº 6;210;5019;31049576;VALLA METALICA CON COLORINES;ARENA;0;0;6;320,23;100,88;Pza · PLAZA JUAN DE LA COSSA , ASCENDIENTE 1: 054;CHAMARTÍN;HISPANOAMÉRICA;40,456372;-3,679521;442384,063;4478633,759
AREA INFANTIL;CALLE PATRIMONIO DE LA HUMANIDAD nº 27;815;11156;31036367;VALLA METALICA CON COLORINES;ARENA;0;0;5;148,926;48,76;C · CALLE PATRIMONIO  DE LA HUMANIDAD , ASCENDIEN;CARABANCHEL;BUENAVISTA;40,360638;-3,76211;435289,738;4468064,517
